"Census Subdivision (Municipal) Population Estimates, July 1, 2016 to 2024, Alberta",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Census Division,Census Subdivision,Area Name,Type,2016,2017,2018,2019,2020,2021,2022,2023,2024
4811,4811041,Point Alison,SV,10,10,10,10,10,18,18,19,19
4811,4811042,Lakeview,SV,30,27,30,31,32,29,28,29,29
4811,4811044,Kapasiwin,SV,10,10,11,11,12,24,26,31,28
4811,4811045,Wabamun5 *,VL,694,697,679,663,666,--,--,--,--
4811,4811046,Spring Lake,VL,724,660,662,687,683,733,762,773,769
4811,4811048,Stony Plain,T,17678,18008,18174,18316,18273,18556,18737,19054,19300
4811,4811049,Spruce Grove5 *,CY,35324,36395,37437,38097,38883,39068,39962,40978,42513
4811,4811052,Strathcona County4 *,SM,100678,101448,101842,102323,102572,102426,103185,103971,105218
4811,4811056,Fort Saskatchewan4 *,CY,25060,26087,26671,27201,27549,28567,28969,29266,29716
4811,4811059,Sturgeon County6 *,MD,21081,21085,21115,20962,20843,20733,20785,20806,20879
4811,4811061,Edmonton3 *,CY,964639,983238,1002920,1026499,1046556,1050945,1073454,1125934,1190457
4811,4811062,St. Albert6 *,CY,67342,68244,68769,69154,69650,70389,70773,71881,73110
4811,4811064,Gibbons,T,3261,3227,3168,3143,3098,3332,3305,3293,3290
4811,4811065,Redwater,T,2111,2027,2058,2078,2106,2189,2185,2186,2210
4811,4811066,Bon Accord,T,1566,1526,1532,1501,1466,1514,1524,1475,1440
4811,4811068,Morinville,T,10167,10283,10337,10485,10462,10753,10763,10758,10753
4811,4811069,Legal,T,1385,1318,1324,1299,1257,1276,1295,1282,1293
4811,4811801,Ermineskin 138,IRI,2536,2409,2434,2456,2452,2340,2309,2296,2219
4811,4811802,Pigeon Lake 138A 8 *,IRI,436,354,354,358,359,299,298,302,317
4811,4811803,Louis Bull 138B,IRI,1215,1218,1252,1280,1304,1370,1382,1377,1392
4811,4811804,Stony Plain 135,IRI,1762,1721,1748,1766,1792,1897,1918,1944,1935
4811,4811805,Alexander 134,IRI,1129,1075,1062,1072,1086,1112,1112,1116,1122
4811,4811806,Wabamun 133A,IRI,1635,1432,1442,1451,1461,1018,1014,1014,1004
4811,4811807,Wabamun 133B,IRI,31,27,26,26,27,21,22,22,23
4812,4812002,Cold Lake3 *,CY,15549,15929,15978,16088,16182,16345,16361,16924,17579
4812,4812004,Bonnyville No. 87 1 3 6 *,MD,13078,13261,13411,13522,13665,13250,13139,12959,12959
4812,4812009,Bonnyville 1 *,T,6118,6167,6168,6204,6156,6624,6632,6880,7092
4812,4812011,Bonnyville Beach,SV,86,66,71,77,73,72,70,69,69
4812,4812012,Glendon,VL,506,464,463,441,434,533,534,533,536
4812,4812013,Pelican Narrows,SV,154,137,139,131,135,161,161,161,159
4812,4812014,St. Paul County No. 19,MD,6159,6304,6335,6362,6393,6477,6430,6423,6372
4812,4812016,Elk Point,T,1489,1422,1391,1316,1248,1442,1455,1438,1449
4812,4812018,St. Paul,T,5983,6007,6127,6178,6191,6052,5805,5893,6004
4812,4812020,Horseshoe Bay,SV,50,46,44,47,51,84,85,81,85
4812,4812022,Smoky Lake County,MD,4196,4152,4144,4175,4195,3983,3980,3953,3945
4812,4812024,Vilna,VL,295,239,229,240,239,274,274,273,271
4812,4812026,Waskatenau,VL,191,177,169,170,184,256,272,289,307
4812,4812029,Smoky Lake,T,979,919,923,916,924,1052,1074,1087,1143
4812,4812037,Lac la Biche County,SM,8526,8576,8536,8603,8563,8365,8309,8300,8401
