Table 2b - Number of Vacancies by Rental Range and Type of Unit,,,,,,,,,,,,,,,,
,,Bachelor,Bachelor,Bachelor,1 Bedroom,1 Bedroom,1 Bedroom,2 Bedroom,2 Bedroom,2 Bedroom,3 Bedroom,3 Bedroom,3 Bedroom,4+ Bedroom,4+ Bedroom,4+ Bedroom
Community,Rental Range ($),Units,Vacant,%,Units,Vacant,%,Units,Vacant,%,Units,Vacant,%,Units,Vacant,%
Fairview,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairview,650 - 799,1,0,0.0,23,0,0.0,2,0,0.0,5,1,20.0,-,-,-
Fairview,800 - 949,-,-,-,-,-,-,26,0,0.0,3,0,0.0,-,-,-
Fairview,"950 - 1,099",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairview,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairview,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Falher,,,,,,,,,,,,,,,,
Falher,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Falher,500 - 649,2,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Falher,650 - 799,-,-,-,15,3,20.0,13,0,0.0,1,0,0.0,-,-,-
Falher,800 - 949,-,-,-,3,0,0.0,6,0,0.0,5,0,0.0,-,-,-
Falher,"950 - 1,099",-,-,-,2,0,0.0,4,1,25.0,-,-,-,-,-,-
Falher,"1,100 - 1,349",-,-,-,-,-,-,1,1,100.0,-,-,-,-,-,-
Falher,"1,350 +",-,-,-,-,-,-,-,-,-,1,1,100.0,-,-,-
Fort Macleod,,,,,,,,,,,,,,,,
Fort Macleod,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fort Macleod,500 - 649,-,-,-,3,0,0.0,-,-,-,-,-,-,-,-,-
Fort Macleod,650 - 799,-,-,-,2,0,0.0,-,-,-,-,-,-,-,-,-
Fort Macleod,800 - 949,2,0,0.0,5,0,0.0,24,1,4.2,2,0,0.0,-,-,-
Fort Macleod,"950 - 1,099",-,-,-,-,-,-,3,0,0.0,1,0,0.0,-,-,-
Fort Macleod,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,10,0,0.0,3,0,0.0
Fort Macleod,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,1,0,0.0
Fox Creek,,,,,,,,,,,,,,,,
Fox Creek,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fox Creek,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fox Creek,650 - 799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fox Creek,800 - 949,-,-,-,33,20,60.6,-,-,-,-,-,-,-,-,-
Fox Creek,"950 - 1,099",1,0,0.0,-,-,-,22,10,45.5,-,-,-,-,-,-
Fox Creek,"1,100 - 1,349",-,-,-,2,0,0.0,1,1,100.0,-,-,-,-,-,-
Fox Creek,"1,350 +",-,-,-,1,1,100.0,32,24,75.0,5,0,0.0,-,-,-
Grande Cache,,,,,,,,,,,,,,,,
Grande Cache,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grande Cache,500 - 649,1,0,0.0,19,6,31.6,4,0,0.0,-,-,-,-,-,-
Grande Cache,650 - 799,5,0,0.0,45,4,8.9,36,14,38.9,-,-,-,-,-,-
Grande Cache,800 - 949,-,-,-,2,0,0.0,19,1,5.3,12,8,66.7,-,-,-
Grande Cache,"950 - 1,099",-,-,-,-,-,-,8,0,0.0,12,0,0.0,-,-,-
Grande Cache,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,17,0,0.0,-,-,-
Grande Cache,"1,350 +",-,-,-,-,-,-,-,-,-,48,2,4.2,-,-,-
Grimshaw,,,,,,,,,,,,,,,,
Grimshaw,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grimshaw,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grimshaw,650 - 799,-,-,-,3,0,0.0,2,0,0.0,-,-,-,-,-,-
Grimshaw,800 - 949,-,-,-,1,0,0.0,8,0,0.0,-,-,-,-,-,-
Grimshaw,"950 - 1,099",-,-,-,2,0,0.0,22,4,18.2,-,-,-,-,-,-
Grimshaw,"1,100 - 1,349",-,-,-,4,0,0.0,6,0,0.0,-,-,-,-,-,-
Grimshaw,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hanna,,,,,,,,,,,,,,,,
Hanna,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hanna,500 - 649,-,-,-,-,-,-,12,1,8.3,4,0,0.0,-,-,-
Hanna,650 - 799,-,-,-,3,0,0.0,30,1,3.3,-,-,-,-,-,-
Hanna,800 - 949,-,-,-,-,-,-,9,3,33.3,1,0,0.0,-,-,-
Hanna,"950 - 1,099",-,-,-,-,-,-,1,0,0.0,-,-,-,-,-,-
Hanna,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hanna,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
High Level,,,,,,,,,,,,,,,,
