Table 8: Weighted Rents by Bedroom Type and Overall Vacancy Rates by Community
Peace River,2 - Bedroom,926,"1,003","1,030","1,073","1,030","1,092","1,080","1,134","1,065"
Peace River,3 - Bedroom,"1,050","1,177","1,217","1,291","1,185","1,169","1,209","1,207","1,184"
Peace River,Bachelor,603,653,679,702,766,639,812,698,550
Peace River,Overall Vacancy Rate,2,2,2,4,23,19,16,15,13
Penhold,1 - Bedroom,679,708,631,646,646,715,690,0,0
Penhold,2 - Bedroom,838,899,973,989,908,"1,053","1,044","1,144",941
Penhold,3 - Bedroom,917,900,850,850,900,"1,428","1,487","1,195",931
Penhold,Overall Vacancy Rate,5,11,0,4,0,11,27,14,0
Pincher Creek,1 - Bedroom,647,653,663,671,681,636,681,600,725
Pincher Creek,2 - Bedroom,649,657,680,685,685,728,738,695,789
Pincher Creek,3 - Bedroom,600,0,0,"1,105","1,031",900,900,0,"1,100"
Pincher Creek,Overall Vacancy Rate,1,6,2,2,4,1,1,6,3
Ponoka,1 - Bedroom,577,605,615,644,677,663,706,761,799
Ponoka,2 - Bedroom,718,728,747,785,785,784,784,837,877
Ponoka,3 - Bedroom,923,943,"1,005","1,005","1,067","1,134","1,099","1,191","1,210"
Ponoka,Bachelor,498,498,548,545,625,681,687,685,706
Ponoka,Overall Vacancy Rate,3,3,1,0,10,8,6,10,4
Provost,1 - Bedroom,538,554,797,804,598,581,584,730,818
Provost,2 - Bedroom,674,663,725,721,737,703,743,748,813
Provost,3 - Bedroom,575,600,600,600,0,750,600,638,675
Provost,4+ Bedroom,800,800,800,800,800,850,800,800,0
Provost,Overall Vacancy Rate,5,5,4,7,20,0,29,10,19
Raymond,1 - Bedroom,500,560,560,560,560,0,0,550,538
Raymond,2 - Bedroom,610,630,657,685,682,712,716,731,665
Raymond,3 - Bedroom,725,775,800,0,825,850,0,0,0
Raymond,Overall Vacancy Rate,0,13,9,20,4,0,20,20,0
Rimbey,1 - Bedroom,549,618,638,681,648,627,624,706,703
Rimbey,2 - Bedroom,698,750,773,836,843,802,804,881,854
Rimbey,3 - Bedroom,"1,163","1,300","1,300","1,400","1,100","1,200",0,"1,375","1,375"
Rimbey,4+ Bedroom,"1,100","1,200","1,300","1,350","1,300","1,350","1,350","1,400","1,400"
Rimbey,Overall Vacancy Rate,2,5,0,15,4,6,0,2,3
Rocky Mountain House,1 - Bedroom,678,711,775,798,775,748,747,727,845
Rocky Mountain House,2 - Bedroom,760,791,880,910,876,868,881,862,927
Rocky Mountain House,3 - Bedroom,919,941,"1,009","1,068","1,048","1,031","1,096","1,124","1,029"
Rocky Mountain House,Bachelor,453,801,914,964,920,859,839,450,800
Rocky Mountain House,Overall Vacancy Rate,5,3,2,9,26,25,17,25,16
Sexsmith,1 - Bedroom,653,691,700,765,820,780,680,0,0
Sexsmith,2 - Bedroom,851,950,967,988,905,876,883,928,0
Sexsmith,3 - Bedroom,"1,159","1,207","1,295","1,242","1,111","1,160","1,226","1,200",0
